order_item_id,order_id,product_id,quantity,discount_percent
1,1,581,3,52.53
2,2,151,1,73.62
3,2,97,4,35.08
4,3,264,-4,35.26
5,3,680,3,77.45
6,3,499,5,26.99
7,3,260,5,2.07
8,3,374,4,65.94
9,4,366,1,74.1
10,4,510,4,74.44
11,5,387,1,87.71
12,5,655,5,44.93
13,6,180,4,94.53
14,6,272,3,4.11
15,6,696,5,83.42
16,6,358,1,45.5
17,6,340,3,96.95
18,7,151,5,62.38
19,7,478,2,28.83
20,7,698,-3,4.1
21,7,154,3,12.34
22,8,314,1,13.77
23,8,6,3,50.2
24,8,441,5,8.6
25,8,361,3,73.31
26,9,600,1,35.46
27,9,83,4,96.69
28,9,298,1,92.02
29,9,225,5,56.39
30,10,593,2,41.63
31,10,143,2,8.56
32,10,700,5,46.12
33,11,385,1,44.19
34,11,448,3,68.52
35,12,480,4,41.03
36,12,363,1,2.64
37,12,438,4,14.06
38,13,249,3,54.33
39,13,595,5,5.35
40,13,525,4,67.01
41,14,531,1,98.62
42,14,472,1,9.74
43,14,56,3,69.06
44,14,87,1,58.46
45,15,55,4,89.51
46,15,210,2,31.09
47,15,529,1,62.37
48,15,148,2,0.0
49,15,576,5,51.98
50,16,210,-4,50.58
51,16,107,4,12.18
52,17,496,3,68.13
53,17,189,5,14.62
54,17,241,1,81.86
55,17,560,2,74.17
56,18,206,1,49.3
57,18,488,3,69.77
58,18,492,1,81.35
59,18,297,-2,45.71
60,18,684,5,58.05
61,19,661,5,90.81
62,20,143,-3,15.83
63,20,480,5,50.32
64,20,470,3,52.51
65,21,65,5,71.52
66,21,179,2,76.26
67,21,672,3,6.82
68,21,156,4,47.18
69,21,361,2,92.74
70,22,266,3,82.99
71,22,133,1,85.2
72,22,332,2,66.53
73,22,603,4,47.64
74,22,595,2,80.86
75,23,108,4,42.01
76,23,179,1,25.05
77,24,75,4,60.65
78,25,179,3,44.95
79,26,653,5,25.25
80,26,588,4,22.55
81,27,445,2,2.42
82,27,542,1,81.0
83,28,369,4,86.45
84,29,190,5,83.24
85,29,699,5,50.09
86,29,658,3,55.87
87,30,69,4,87.4
88,30,450,5,78.24
89,31,104,2,54.05
90,31,121,1,94.06
91,31,511,3,35.79
92,32,295,5,85.32
93,32,77,5,39.92
94,33,560,1,93.69
95,34,669,3,20.05
96,34,31,1,54.71
97,34,34,3,66.33
98,35,242,4,94.8
99,36,37,5,88.75
100,36,355,4,27.05
101,36,73,1,49.66
102,36,427,2,43.15
103,36,613,3,87.64
104,37,22,1,81.14
