enrolment_id,learner_id,course_id,enrol_date,expected_completion_date,actual_completion_date,status,progress_pct,last_activity_date,assessment_score,attempts,feedback_rating,certificate_issued
ENR00460,LRN0376,CRS001,2024-01-13,2024-02-12,2024-02-21,Completed,100,2024-02-21,79.22,1,2,Yes
ENR00681,LRN0486,CRS055,2024-01-16,2024-01-26,2024-01-19,Completed,100,2024-01-19,56.62,1,3,No
ENR01477,LRN0352,CRS044,2024-03-16,2024-06-04,2024-03-31,Completed,100,2024-03-31,93.98,1,4,Yes
ENR00554,LRN0474,CRS035,2024-02-01,2024-04-21,,Dropped,8,2024-02-07,,1,,No
ENR00640,LRN0240,CRS038,2024-02-11,2024-03-12,2024-03-01,Completed,100,2024-03-01,81.21,2,3,Yes
ENR00309,LRN0457,CRS012,2024-03-09,2024-04-18,,Dropped,28,2024-03-10,,1,,No
ENR00406,LRN0316,CRS060,2024-02-22,2024-03-23,2024-03-27,Completed,100,2024-03-27,96.0,1,4,Yes
ENR00933,LRN0309,CRS042,2024-03-06,2024-03-16,,Dropped,11,2024-03-09,,1,,No
ENR01153,LRN0078,CRS012,2024-02-06,2024-03-17,,In Progress,15,2024-03-27,,1,,No
ENR00810,LRN0424,CRS039,2024-01-30,2024-04-19,,Dropped,35,2024-02-10,,2,,No
ENR00260,LRN0479,CRS051,2024-01-17,2024-04-06,,In Progress,23,2024-02-14,,1,,No
ENR00496,LRN0441,CRS033,2024-01-27,2024-03-07,2024-03-07,Completed,100,2024-03-07,73.88,1,2,Yes
ENR00533,LRN0401,CRS047,2024-01-08,2024-03-08,,Dropped,24,2024-01-16,,3,,No
ENR01171,LRN0175,CRS003,2024-02-07,2024-02-27,,In Progress,47,2024-02-10,,1,,No
ENR01984,LRN0274,CRS028,2024-02-09,2024-03-20,,In Progress,61,2024-02-19,,1,,No
ENR01163,LRN0357,CRS026,2024-02-07,2024-02-17,,Dropped,19,2024-02-15,,1,,No
ENR01151,LRN0161,CRS025,2024-01-15,2024-02-24,,Dropped,18,2024-01-23,,1,,No
ENR01062,LRN0449,CRS008,2024-01-19,2024-04-08,2024-03-11,Completed,100,2024-03-11,51.94,1,3,No
ENR01482,LRN0450,CRS014,2024-02-24,2024-03-25,2024-03-29,Completed,100,,83.43,1,1,Yes
ENR00591,LRN0384,CRS008,2024-02-18,2024-05-08,,In Progress,44,2024-02-26,,2,5,No
ENR00400,LRN0328,CRS038,2024-01-13,2024-02-12,2024-01-20,Completed,100,2024-01-20,68.11,1,2,Yes
ENR00250,LRN0244,CRS043,2024-01-13,2024-04-02,,Dropped,12,2024-01-17,,1,,No
ENR00691,LRN0124,CRS051,2024-01-23,2024-04-12,,Not Started,0,,,1,,No
ENR01893,LRN0207,CRS048,2024-01-17,2024-01-27,,In Progress,33,2024-02-12,,1,,No
ENR01968,LRN0462,CRS051,2024-01-09,2024-03-29,2024-02-11,Completed,100,2024-02-11,93.52,1,3,Yes
ENR01568,LRN0344,CRS055,2024-03-13,2024-03-23,2024-03-29,Completed,100,2024-03-29,99.49,1,2,Yes
ENR00426,LRN0168,CRS009,2024-01-29,2024-02-18,2024-02-01,Completed,100,2024-02-01,59.72,1,1,No
ENR00358,LRN0360,CRS006,2024-01-31,2024-02-10,2024-02-03,Completed,100,2024-02-03,99.66,1,5,Yes
ENR00913,LRN0200,CRS050,2024-01-25,2024-02-04,,Dropped,9,2024-01-29,,1,,No
