course_id,course_title,average_score,passed,attempted,pass_rate
CRS054,Product Management,69.81933333333333,15,15,100.0
CRS017,Network Security Essentials,65.96166666666667,12,12,100.0
CRS038,Reinforcement Learning,72.01666666666667,15,15,100.0
CRS059,Wearable App Development,72.17545454545456,11,11,100.0
CRS046,Terraform Infrastructure,69.713,10,10,100.0
CRS024,Computer Vision,64.96944444444445,18,18,100.0
CRS009,Digital Marketing Strategy,69.75,12,12,100.0
CRS050,Scala for Big Data,73.21833333333335,12,12,100.0
CRS011,Figma for Beginners,75.11692307692307,13,13,100.0
CRS043,Leadership & Communication,74.19916666666667,12,12,100.0
CRS014,Google Cloud Fundamentals,70.69526315789474,19,19,100.0
CRS015,Azure Data Engineering,69.07249999999999,12,12,100.0
CRS035,React Native Cross-Platform,73.79166666666669,18,18,100.0
CRS029,Brand Identity Design,65.55799999999999,10,10,100.0
CRS039,Transformer Models & LLMs,74.31642857142857,14,14,100.0
CRS053,Supply Chain Management,67.214375,16,16,100.0
CRS041,GraphQL APIs,61.82363636363637,11,11,100.0
CRS044,Adobe Illustrator Mastery,72.084375,16,16,100.0
CRS036,Advanced Python OOP,74.94571428571429,7,7,100.0
CRS057,Microservices Architecture,69.49636363636363,11,11,100.0
CRS051,MLOps & Model Deployment,69.83333333333333,18,18,100.0
CRS019,iOS Development with Swift,73.543125,16,16,100.0
CRS007,Business Analytics Essentials,68.67909090909092,11,11,100.0
CRS052,Svelte & SvelteKit,69.306875,16,16,100.0
CRS034,Android Development Kotlin,73.93599999999999,15,15,100.0
CRS058,Zero Trust Security,81.605,10,10,100.0
CRS002,Machine Learning Fundamentals,71.76263157894736,19,19,100.0
CRS042,Operations Management,67.56533333333334,15,15,100.0
CRS033,Penetration Testing,70.06076923076924,13,13,100.0
CRS013,AWS Solutions Architect,64.9075,12,12,100.0
CRS026,Full Stack Django,69.36818181818181,11,11,100.0
CRS037,Data Engineering with Spark,71.11636363636364,11,11,100.0
CRS021,Power BI & Tableau,71.36076923076922,13,13,100.0
CRS045,Photography & Lightroom,70.092,10,10,100.0
CRS001,Python for Data Science,74.32705882352941,17,17,100.0
CRS006,HTML & CSS Mastery,77.97666666666666,12,12,100.0
CRS003,Deep Learning with TensorFlow,63.34153846153846,13,13,100.0
CRS048,OSINT & Threat Intelligence,74.00500000000001,12,12,100.0
CRS055,Motion UI Design,74.72434782608694,23,23,100.0
CRS028,Entrepreneurship 101,77.55,16,16,100.0
CRS025,Vue.js & Nuxt Development,71.2675,16,16,100.0
CRS040,TypeScript Advanced,73.03533333333334,15,15,100.0
CRS060,Bayesian Statistics,66.38722222222222,18,18,100.0
CRS008,Project Management Professional,73.80142857142857,14,14,100.0
CRS016,Ethical Hacking Basics,64.312,5,5,100.0
CRS012,Motion Graphics & Animation,66.32727272727273,11,11,100.0
CRS047,Cloud Security Best Practices,72.39454545454545,11,11,100.0
CRS032,DevOps CI/CD Pipeline,74.47222222222223,9,9,100.0
CRS020,SQL & Database Design,73.35411764705883,17,17,100.0
CRS030,3D Modelling with Blender,67.44727272727272,11,11,100.0
CRS027,Financial Modelling,69.87375,8,8,100.0
CRS056,NoSQL & MongoDB,69.80307692307693,13,13,100.0
CRS049,Unity Game Development,66.46631578947368,19,19,100.0
CRS010,UI/UX Design Principles,74.21933333333335,15,15,100.0
CRS018,Flutter App Development,72.74666666666666,12,12,100.0
CRS005,Node.js Backend Development,66.579375,16,16,100.0
CRS004,React.js Complete Guide,79.75944444444445,18,18,100.0
CRS031,Docker & Kubernetes,72.57058823529411,17,17,100.0
CRS022,Statistics for Data Science,76.30555555555556,9,9,100.0
CRS023,NLP with Python,71.91529411764706,17,17,100.0
